algo_name,number_of_apps,Avg,Min,Max
sm2_round_robin_min_sites,3,0.9,0,1
sm2_closest_min_sites,3,1.0,1,1
sm2_best_lat_min_sites,3,1.0,1,1
sm2_round_robin_max_sites,3,0.7,0,1
sm2_closest_max_sites,3,0.7,0,1
sm2_best_lat_max_sites,3,0.7,0,1
sm2_closest_max_sites_meet_lat,3,1.0,1,1
sm2_best_lat_max_sites_meet_lat,3,1.0,1,1
sm2_milp_max_sites,3,1.0,1,1
sm2_round_robin_min_sites,5,0.6,0,1
sm2_closest_min_sites,5,0.9,0,1
sm2_best_lat_min_sites,5,1.0,1,1
sm2_round_robin_max_sites,5,0.3,0,1
sm2_closest_max_sites,5,0.3,0,1
sm2_best_lat_max_sites,5,0.3,0,1
sm2_closest_max_sites_meet_lat,5,1.0,1,1
sm2_best_lat_max_sites_meet_lat,5,1.0,1,1
sm2_milp_max_sites,5,1.0,1,1
sm2_round_robin_min_sites,7,0.7,0,1
sm2_closest_min_sites,7,1.0,1,1
sm2_best_lat_min_sites,7,1.0,1,1
sm2_round_robin_max_sites,7,0.5,0,1
sm2_closest_max_sites,7,0.5,0,1
sm2_best_lat_max_sites,7,0.5,0,1
sm2_closest_max_sites_meet_lat,7,1.0,1,1
sm2_best_lat_max_sites_meet_lat,7,1.0,1,1
sm2_milp_max_sites,7,1.0,1,1
sm2_round_robin_min_sites,9,0.5,0,1
sm2_closest_min_sites,9,0.9,0,1
sm2_best_lat_min_sites,9,1.0,1,1
sm2_round_robin_max_sites,9,0.3,0,1
sm2_closest_max_sites,9,0.3,0,1
sm2_best_lat_max_sites,9,0.3,0,1
sm2_closest_max_sites_meet_lat,9,1.0,1,1
sm2_best_lat_max_sites_meet_lat,9,1.0,1,1
sm2_milp_max_sites,9,1.0,1,1
sm2_round_robin_min_sites,11,0.6,0,1
sm2_closest_min_sites,11,0.9,0,1
sm2_best_lat_min_sites,11,1.0,1,1
sm2_round_robin_max_sites,11,0.0,0,0
sm2_closest_max_sites,11,0.0,0,0
sm2_best_lat_max_sites,11,0.0,0,0
sm2_closest_max_sites_meet_lat,11,1.0,1,1
sm2_best_lat_max_sites_meet_lat,11,1.0,1,1
sm2_milp_max_sites,11,1.0,1,1
sm2_round_robin_min_sites,13,0.4,0,1
sm2_closest_min_sites,13,0.8,0,1
sm2_best_lat_min_sites,13,0.9,0,1
sm2_round_robin_max_sites,13,0.1,0,1
sm2_closest_max_sites,13,0.1,0,1
sm2_best_lat_max_sites,13,0.1,0,1
sm2_closest_max_sites_meet_lat,13,1.0,1,1
sm2_best_lat_max_sites_meet_lat,13,1.0,1,1
sm2_milp_max_sites,13,1.0,1,1
sm2_round_robin_min_sites,15,0.4,0,1
sm2_closest_min_sites,15,0.8,0,1
sm2_best_lat_min_sites,15,1.0,1,1
sm2_round_robin_max_sites,15,0.2,0,1
sm2_closest_max_sites,15,0.2,0,1
sm2_best_lat_max_sites,15,0.2,0,1
sm2_closest_max_sites_meet_lat,15,1.0,1,1
sm2_best_lat_max_sites_meet_lat,15,1.0,1,1
sm2_milp_max_sites,15,1.0,1,1
sm2_round_robin_min_sites,20,0.2,0,1
sm2_closest_min_sites,20,0.6,0,1
sm2_best_lat_min_sites,20,0.8,0,1
sm2_round_robin_max_sites,20,0.0,0,0
sm2_closest_max_sites,20,0.0,0,0
sm2_best_lat_max_sites,20,0.0,0,0
sm2_closest_max_sites_meet_lat,20,1.0,1,1
sm2_best_lat_max_sites_meet_lat,20,1.0,1,1
sm2_milp_max_sites,20,1.0,1,1
sm2_round_robin_min_sites,30,0.2,0,1
sm2_closest_min_sites,30,0.4,0,1
sm2_best_lat_min_sites,30,0.9,0,1
sm2_round_robin_max_sites,30,0.0,0,0
sm2_closest_max_sites,30,0.0,0,0
sm2_best_lat_max_sites,30,0.0,0,0
sm2_closest_max_sites_meet_lat,30,1.0,1,1
sm2_best_lat_max_sites_meet_lat,30,1.0,1,1
sm2_milp_max_sites,30,1.0,1,1
