f,d,k,latency,latitude,longitude,pr_interval
1,1,2,100,40.712776,-74.005974,6
1,3,2,100,39.7684,-86.1581,48
3,1,1,1000,42.3601,-71.0589,3
3,1,2,100,34.0522,-118.2437,1
1,1,1,100,41.8781,-87.6298,3
3,1,2,200,39.9526,-75.1652,3
2,3,1,200,30.4383,-84.2807,6
3,2,2,100,34.7465,-92.2896,6
1,3,2,1000,41.8781,-87.6298,6
1,1,2,500,33.4484,-112.0740,3
2,2,2,500,38.9072,-77.0369,48
2,1,1,1000,38.9072,-77.0369,3
2,1,2,200,25.7617,-80.1918,3
2,3,1,1000,39.7684,-86.1581,3
2,1,3,500,33.7490,-84.3880,1
1,2,1,500,40.712776,-74.005974,48
1,1,1,500,40.712776,-74.005974,24
3,1,2,200,41.8781,-87.6298,3
1,2,1,200,47.6062,-122.3321,1
1,2,1,500,30.2672,-97.7431,1
1,2,2,200,34.0522,-118.2437,6
3,1,2,1000,34.7465,-92.2896,1
1,2,3,100,34.7465,-92.2896,1
2,1,1,500,42.3601,-71.0589,48
2,2,1,200,33.7490,-84.3880,24
1,3,3,100,30.2672,-97.7431,3
2,1,1,200,38.9072,-77.0369,3
2,3,1,100,25.7617,-80.1918,1
2,2,2,100,32.7157,-117.1611,3
2,1,2,200,38.9072,-77.0369,1
