f,d,k,latency,latitude,longitude,pr_interval
2,3,1,100,29.7604,-95.3698,3
1,1,2,1000,33.4484,-112.0740,1
1,1,2,100,41.8781,-87.6298,24
3,1,2,1000,32.7157,-117.1611,12
3,1,1,100,39.9612,-82.9988,3
3,1,2,500,38.9072,-77.0369,3
1,3,3,100,47.6062,-122.3321,1
2,3,1,500,37.7749295,-122.4194155,1
3,1,1,1000,38.9072,-77.0369,1
1,1,1,100,25.7617,-80.1918,6
1,1,1,1000,33.7490,-84.3880,6
1,1,1,200,35.2271,-80.8431,1
1,3,2,100,37.7749295,-122.4194155,3
1,3,1,100,29.7604,-95.3698,6
2,1,1,500,39.7684,-86.1581,3
3,1,1,1000,42.3601,-71.0589,6
3,1,1,100,35.2271,-80.8431,48
3,2,2,1000,39.9526,-75.1652,1
2,1,2,500,39.7684,-86.1581,3
1,2,2,100,39.9612,-82.9988,1
1,2,1,500,30.4383,-84.2807,24
1,2,1,1000,33.4484,-112.0740,12
1,2,1,200,38.9072,-77.0369,12
3,1,3,1000,39.9526,-75.1652,3
2,3,2,200,33.7490,-84.3880,12
1,1,2,500,41.8781,-87.6298,6
1,2,3,100,29.7604,-95.3698,1
1,1,1,1000,39.9526,-75.1652,1
1,1,2,1000,35.2271,-80.8431,6
2,2,3,500,37.7749295,-122.4194155,6
