f,d,k,latency,latitude,longitude,pr_interval
2,1,2,1000,39.9526,-75.1652,1
3,1,2,100,29.7604,-95.3698,3
2,3,2,500,30.4383,-84.2807,1
2,2,1,500,25.7617,-80.1918,6
1,2,2,1000,33.4484,-112.0740,12
1,2,2,500,30.2672,-97.7431,3
2,1,3,200,41.8781,-87.6298,3
3,1,2,200,41.8781,-87.6298,12
1,2,2,500,30.4383,-84.2807,12
2,3,3,100,33.4484,-112.0740,6
2,3,1,100,29.7604,-95.3698,12
2,2,2,100,47.6062,-122.3321,1
1,1,1,100,25.7617,-80.1918,6
2,2,3,500,33.7490,-84.3880,3
1,1,3,1000,40.712776,-74.005974,3
1,3,2,200,37.7749295,-122.4194155,1
2,2,2,200,33.7490,-84.3880,6
1,3,1,200,40.712776,-74.005974,3
1,1,1,1000,42.3601,-71.0589,12
3,2,2,200,39.9612,-82.9988,6
1,3,3,100,30.4383,-84.2807,1
1,3,2,500,42.3601,-71.0589,48
1,1,2,1000,25.7617,-80.1918,1
2,1,1,1000,39.9612,-82.9988,1
1,2,1,500,38.9072,-77.0369,3
1,2,1,500,39.7684,-86.1581,48
2,2,2,200,38.9072,-77.0369,12
2,3,2,100,35.2271,-80.8431,48
1,1,1,200,32.7157,-117.1611,3
1,2,1,100,47.6062,-122.3321,3
