f,d,k,latency,latitude,longitude,pr_interval
1,3,1,100,33.4484,-112.0740,6
2,1,2,500,33.4484,-112.0740,3
1,1,3,500,41.8781,-87.6298,12
1,1,2,100,47.6062,-122.3321,1
3,2,3,1000,39.7684,-86.1581,1
2,1,1,200,42.3601,-71.0589,3
1,1,1,100,32.7157,-117.1611,48
3,2,1,100,32.7157,-117.1611,1
1,2,1,200,33.4484,-112.0740,3
1,2,3,1000,32.7157,-117.1611,6
1,1,2,500,47.6062,-122.3321,48
1,2,1,100,33.4484,-112.0740,1
1,2,1,100,39.7684,-86.1581,3
1,1,1,1000,40.712776,-74.005974,1
1,1,1,500,33.7490,-84.3880,6
