f,d,k,latency,latitude,longitude,pr_interval
1,1,2,100,30.4383,-84.2807,6
1,3,3,100,34.7465,-92.2896,6
1,3,1,100,30.2672,-97.7431,3
3,1,2,500,39.7684,-86.1581,1
2,2,3,1000,33.4484,-112.0740,1
2,1,1,1000,30.4383,-84.2807,6
1,3,1,500,40.712776,-74.005974,1
2,2,1,100,40.712776,-74.005974,1
2,2,2,100,30.2672,-97.7431,3
1,3,3,500,39.9526,-75.1652,48
2,3,2,200,33.4484,-112.0740,1
1,2,1,100,33.4484,-112.0740,1
3,2,1,1000,30.4383,-84.2807,24
1,1,3,500,41.8781,-87.6298,1
1,3,2,500,42.3601,-71.0589,3
1,3,3,100,30.2672,-97.7431,1
2,1,1,1000,39.7684,-86.1581,3
1,2,3,200,34.7465,-92.2896,1
2,1,1,200,40.712776,-74.005974,3
1,1,1,1000,47.6062,-122.3321,6
1,1,3,500,35.2271,-80.8431,6
2,2,1,500,35.2271,-80.8431,12
2,1,1,100,47.6062,-122.3321,6
1,2,1,100,34.0522,-118.2437,1
1,2,3,1000,34.7465,-92.2896,1
1,1,2,1000,29.7604,-95.3698,1
1,2,1,500,29.7604,-95.3698,48
2,2,2,1000,42.3601,-71.0589,1
2,1,3,200,39.9612,-82.9988,1
1,2,1,200,35.2271,-80.8431,1
