f,d,k,latency,latitude,longitude,pr_interval
1,3,1,100,32.7157,-117.1611,6
1,1,3,500,36.7783,-119.4179,24
1,1,1,500,39.7684,-86.1581,6
1,2,1,100,35.2271,-80.8431,24
1,2,1,1000,39.9612,-82.9988,24
1,2,1,200,29.7604,-95.3698,24
1,1,2,1000,29.7604,-95.3698,6
1,3,1,100,35.2271,-80.8431,12
1,3,1,100,40.712776,-74.005974,3
2,1,1,200,34.7465,-92.2896,12
1,2,1,1000,36.7783,-119.4179,1
2,2,2,100,37.7749295,-122.4194155,3
2,1,3,100,38.9072,-77.0369,3
2,1,1,100,32.7157,-117.1611,6
1,3,1,200,41.8781,-87.6298,1
2,2,2,200,34.0522,-118.2437,1
1,1,1,500,36.7783,-119.4179,3
3,1,1,1000,42.3601,-71.0589,48
1,1,2,200,32.7157,-117.1611,1
3,1,1,100,34.7465,-92.2896,6
