f,d,k,latency,latitude,longitude,pr_interval
3,2,1,200,39.9526,-75.1652,6
1,1,2,500,33.7490,-84.3880,3
2,1,1,500,30.2672,-97.7431,6
2,1,2,100,29.7604,-95.3698,48
2,1,1,200,29.7604,-95.3698,24
1,1,3,200,25.7617,-80.1918,3
2,1,2,500,36.7783,-119.4179,6
2,2,1,100,25.7617,-80.1918,6
2,3,1,500,39.7684,-86.1581,6
2,1,2,100,39.7684,-86.1581,1
3,3,3,100,30.4383,-84.2807,3
2,1,2,200,35.2271,-80.8431,24
1,1,1,200,34.7465,-92.2896,3
2,1,3,100,37.7749295,-122.4194155,12
1,3,2,100,33.4484,-112.0740,1
