f,d,k,latency,latitude,longitude,pr_interval
2,3,1,200,33.4484,-112.0740,1
3,1,2,500,39.7684,-86.1581,1
1,3,1,200,39.9526,-75.1652,1
1,2,1,1000,35.2271,-80.8431,1
2,2,1,1000,32.7157,-117.1611,6
1,2,3,1000,36.7783,-119.4179,3
2,1,2,100,32.7157,-117.1611,6
2,1,2,200,37.7749295,-122.4194155,6
1,1,1,500,37.7749295,-122.4194155,6
1,1,3,500,38.9072,-77.0369,6
1,1,1,200,33.4484,-112.0740,3
3,1,2,200,39.7684,-86.1581,6
3,2,1,100,34.0522,-118.2437,48
1,1,1,1000,34.0522,-118.2437,48
2,2,1,1000,29.7604,-95.3698,1
1,3,1,1000,39.9612,-82.9988,3
1,3,1,100,41.8781,-87.6298,6
2,3,3,100,35.2271,-80.8431,3
3,3,2,500,36.7783,-119.4179,48
2,1,1,500,29.7604,-95.3698,3
2,2,2,1000,35.2271,-80.8431,3
1,2,1,500,39.9526,-75.1652,6
1,1,1,100,39.9526,-75.1652,3
2,2,2,500,42.3601,-71.0589,1
2,3,1,200,30.2672,-97.7431,1
1,1,1,500,40.712776,-74.005974,1
1,3,1,1000,34.7465,-92.2896,3
2,1,1,500,38.9072,-77.0369,1
3,2,2,100,29.7604,-95.3698,12
2,1,3,500,39.7684,-86.1581,3
2,3,1,500,34.7465,-92.2896,24
3,3,1,100,39.9526,-75.1652,3
2,3,1,500,34.0522,-118.2437,12
1,1,1,1000,30.4383,-84.2807,3
1,2,2,200,33.7490,-84.3880,3
1,1,3,500,37.7749295,-122.4194155,24
1,2,1,200,42.3601,-71.0589,3
2,1,1,500,33.4484,-112.0740,3
1,1,1,200,34.0522,-118.2437,12
2,2,1,1000,39.9612,-82.9988,12
1,1,1,1000,39.9612,-82.9988,48
1,1,1,100,39.9612,-82.9988,12
3,1,1,100,39.7684,-86.1581,6
2,3,2,100,30.2672,-97.7431,1
1,3,2,100,38.9072,-77.0369,24
2,1,1,500,40.712776,-74.005974,3
2,1,3,200,38.9072,-77.0369,48
1,1,1,500,39.7684,-86.1581,1
3,1,1,200,47.6062,-122.3321,1
1,1,2,100,39.9526,-75.1652,3
