f,d,k,latency,latitude,longitude,pr_interval
1,2,3,1000,38.9072,-77.0369,6
1,1,1,100,40.712776,-74.005974,12
1,3,1,200,32.7157,-117.1611,6
2,1,2,500,30.4383,-84.2807,1
2,2,1,1000,33.4484,-112.0740,12
1,3,3,1000,40.712776,-74.005974,3
3,2,1,1000,25.7617,-80.1918,3
1,3,1,500,34.0522,-118.2437,1
2,1,2,500,38.9072,-77.0369,1
1,2,1,1000,39.9612,-82.9988,1
3,1,2,1000,34.7465,-92.2896,3
1,1,1,1000,33.7490,-84.3880,24
1,3,3,500,33.7490,-84.3880,12
2,1,3,500,41.8781,-87.6298,1
1,1,1,500,29.7604,-95.3698,1
