f,d,k,latency,latitude,longitude,pr_interval
2,2,3,200,29.7604,-95.3698,12
1,3,3,200,36.7783,-119.4179,48
1,3,2,200,38.9072,-77.0369,48
1,2,2,100,33.4484,-112.0740,6
1,1,3,500,36.7783,-119.4179,1
2,1,2,500,29.7604,-95.3698,6
1,1,1,100,33.7490,-84.3880,1
2,1,2,200,33.7490,-84.3880,6
1,1,3,500,34.0522,-118.2437,1
3,2,1,1000,42.3601,-71.0589,3
1,2,2,200,33.4484,-112.0740,3
1,1,1,100,47.6062,-122.3321,3
2,1,3,200,39.9526,-75.1652,6
1,1,2,1000,38.9072,-77.0369,24
2,1,2,100,33.7490,-84.3880,3
3,2,3,1000,33.7490,-84.3880,3
3,2,2,100,39.9612,-82.9988,3
1,2,2,100,32.7157,-117.1611,24
2,2,2,100,30.4383,-84.2807,6
2,2,3,200,30.2672,-97.7431,1
2,2,1,500,39.7684,-86.1581,12
1,2,1,100,39.9612,-82.9988,6
1,2,3,100,39.9612,-82.9988,3
1,1,2,200,25.7617,-80.1918,48
2,1,2,200,39.7684,-86.1581,1
2,3,1,1000,34.0522,-118.2437,48
1,1,3,200,41.8781,-87.6298,6
1,1,3,500,34.0522,-118.2437,3
2,3,2,200,25.7617,-80.1918,6
2,2,1,200,38.9072,-77.0369,12
