f,d,k,latency,latitude,longitude,pr_interval
1,2,1,1000,38.9072,-77.0369,1
3,2,2,500,-1.2921,36.8219,1
2,1,1,100,43.65107,-79.347015,1
1,2,1,1000,55.7558,37.6176,1
2,1,3,500,30.2672,-97.7431,1
2,2,1,200,32.7157,-117.1611,1
1,2,1,1000,-34.6036844,-58.3815591,6
3,2,1,200,36.7783,-119.4179,3
2,2,1,1000,35.2271,-80.8431,48
1,2,1,50,41.8781,-87.6298,1
2,1,1,200,35.689487,139.691711,48
2,2,1,1000,-33.9248685,18.4240553,12
1,1,1,100,43.65107,-79.347015,6
2,3,1,100,33.7490,-84.3880,12
2,1,1,100,48.8566,2.3522,1
1,3,3,1000,51.509865,-0.118092,3
3,3,1,1000,41.9027835,12.4963655,6
2,1,2,200,31.230416,121.473701,3
2,1,1,100,51.5074,-0.1278,1
1,1,2,50,29.7604,-95.3698,3
