f,d,k,latency,latitude,longitude,pr_interval
1,2,1,200,30.4383,-84.2807,6
1,3,2,200,39.7684,-86.1581,6
1,3,1,1000,35.2271,-80.8431,24
1,3,1,500,29.7604,-95.3698,1
3,2,2,1000,33.7490,-84.3880,1
2,2,2,1000,30.4383,-84.2807,3
1,1,3,100,41.8781,-87.6298,48
1,3,3,200,33.7490,-84.3880,3
1,2,3,1000,38.9072,-77.0369,6
2,1,1,500,32.7157,-117.1611,1
2,3,2,200,39.7684,-86.1581,3
1,2,2,200,42.3601,-71.0589,12
1,2,1,1000,34.0522,-118.2437,1
1,3,1,500,38.9072,-77.0369,3
2,1,2,500,35.2271,-80.8431,3
