f,d,k,latency,latitude,longitude,pr_interval
2,3,2,500,32.7157,-117.1611,1
2,2,2,50,29.7604,-95.3698,6
3,3,1,1000,29.7604,-95.3698,3
2,1,1,50,51.5074,-0.1278,1
3,1,2,100,33.7490,-84.3880,12
1,3,2,200,30.2672,-97.7431,1
2,3,2,100,-34.6036844,-58.3815591,3
1,1,1,200,48.8566,2.3522,1
2,2,3,200,34.0522,-118.2437,12
2,2,1,500,34.0522,-118.2437,1
2,1,1,50,39.9612,-82.9988,3
2,3,3,50,-34.6036844,-58.3815591,1
2,2,1,200,45.4642035,9.189982,3
1,3,1,50,29.7604,-95.3698,12
1,3,2,500,51.5074,-0.1278,6
3,1,2,200,55.7558,37.6176,6
1,2,1,50,25.7617,-80.1918,1
1,2,1,50,-12.0464,-77.0428,48
1,3,1,1000,37.566535,126.9779692,3
1,2,3,200,32.7157,-117.1611,12
1,2,1,50,39.9526,-75.1652,24
1,1,1,1000,37.7749295,-122.4194155,1
1,1,2,1000,39.9526,-75.1652,1
1,1,1,200,31.230416,121.473701,1
1,1,3,200,34.7465,-92.2896,1
1,1,1,100,59.3293235,18.0685808,1
1,1,3,500,-37.8136,144.9631,1
1,1,1,500,-34.6036844,-58.3815591,1
1,1,3,1000,55.7558,37.6176,1
2,3,1,100,-6.2087634,106.845599,1
1,1,2,200,41.8781,-87.6298,3
2,2,3,50,55.7558,37.6176,1
2,1,2,100,41.8781,-87.6298,1
1,1,3,200,-6.2087634,106.845599,12
2,2,2,50,36.7783,-119.4179,1
3,2,1,1000,32.7157,-117.1611,1
3,2,1,1000,25.7617,-80.1918,3
1,1,3,1000,28.6139,77.2090,3
2,3,2,200,48.8566,2.3522,3
2,3,2,50,37.566535,126.9779692,6
1,1,2,100,47.6062,-122.3321,24
1,1,2,500,33.7490,-84.3880,48
1,1,1,50,-6.2087634,106.845599,3
1,1,2,200,-33.9248685,18.4240553,3
2,1,2,1000,29.7604,-95.3698,3
2,2,2,500,39.9526,-75.1652,3
2,1,1,50,31.230416,121.473701,3
2,1,1,50,33.4484,-112.0740,6
1,1,2,1000,-37.8136,144.9631,3
1,1,1,50,-33.8688197,151.2092955,1
1,1,2,200,45.4642035,9.189982,1
3,1,1,200,45.4642035,9.189982,1
3,2,1,1000,59.3293235,18.0685808,24
1,1,1,200,47.6062,-122.3321,24
2,2,3,500,-37.8136,144.9631,1
2,1,2,100,37.566535,126.9779692,1
2,1,2,1000,25.7617,-80.1918,6
3,2,1,50,41.8781,-87.6298,12
1,2,3,100,42.3601,-71.0589,3
2,2,1,100,33.7490,-84.3880,3
1,1,3,500,-25.7461,28.1881,1
1,1,1,500,-1.2921,36.8219,3
2,3,2,200,48.8566,2.3522,1
1,2,1,100,41.9027835,12.4963655,48
1,2,3,1000,51.5074,-0.1278,12
2,2,2,500,-33.8688197,151.2092955,1
2,2,1,50,29.7604,-95.3698,3
2,2,3,200,-22.906847,-43.172896,48
1,1,3,100,40.712776,-74.005974,3
3,2,2,100,45.4642035,9.189982,1
1,2,1,100,55.6760968,12.5683372,1
3,2,1,50,39.9526,-75.1652,3
2,1,1,500,47.6062,-122.3321,3
1,1,1,500,36.7783,-119.4179,3
3,1,2,100,-6.2087634,106.845599,48
1,1,2,500,52.5200066,13.404954,24
2,2,1,100,35.2271,-80.8431,6
3,3,2,100,48.8588443,2.2943506,1
1,2,1,500,51.5074,-0.1278,24
1,2,1,1000,39.7684,-86.1581,48
2,2,2,50,55.6760968,12.5683372,1
3,2,1,200,47.6062,-122.3321,6
2,1,2,100,55.7558,37.6176,1
3,2,2,100,28.6139,77.2090,3
2,1,2,50,-34.6036844,-58.3815591,6
1,1,3,200,-25.7461,28.1881,3
1,3,3,100,39.7684,-86.1581,6
2,2,1,50,19.4326077,-99.133208,3
2,1,2,100,59.3293235,18.0685808,3
1,2,1,50,-33.8688197,151.2092955,3
3,3,3,500,32.7157,-117.1611,6
1,3,2,100,47.6062,-122.3321,24
1,1,1,100,41.8781,-87.6298,1
3,3,2,500,-33.8688197,151.2092955,3
1,2,3,500,-6.2087634,106.845599,1
2,1,1,50,51.5074,-0.1278,1
1,1,1,1000,47.6062,-122.3321,1
1,1,3,50,-1.2921,36.8219,12
1,1,2,100,37.566535,126.9779692,3
3,1,3,100,42.3601,-71.0589,3
