f,d,k,latency,latitude,longitude,pr_interval
3,1,1,200,34.0522,-118.2437,6
1,1,2,1000,34.0522,-118.2437,3
1,1,1,200,25.7617,-80.1918,1
3,2,2,200,38.9072,-77.0369,3
3,1,1,500,33.4484,-112.0740,48
1,1,2,100,-33.9248685,18.4240553,1
3,1,1,50,48.8566,2.3522,6
2,1,1,50,32.7157,-117.1611,3
3,1,2,50,51.5074,-0.1278,6
1,3,1,50,35.689487,139.691711,6
3,1,2,500,37.7749295,-122.4194155,3
2,1,2,100,37.566535,126.9779692,6
3,3,3,200,30.2672,-97.7431,1
3,1,3,200,55.7558,37.6176,3
2,3,1,50,35.2271,-80.8431,3
3,2,1,50,19.4326077,-99.133208,1
2,1,2,200,39.9612,-82.9988,1
1,1,3,200,52.5200066,13.404954,3
1,2,2,100,28.6139,77.2090,48
2,1,1,50,-25.7461,28.1881,1
1,1,2,500,41.9027835,12.4963655,6
1,2,1,50,59.3293235,18.0685808,6
3,1,2,200,25.7617,-80.1918,1
1,1,1,50,55.6760968,12.5683372,24
1,3,1,50,19.4326077,-99.133208,3
1,1,1,100,29.7604,-95.3698,6
1,2,2,50,39.9526,-75.1652,1
1,1,1,500,25.7617,-80.1918,3
1,2,3,500,30.2672,-97.7431,24
3,1,1,50,52.5200066,13.404954,1
