f,d,k,latency,latitude,longitude,pr_interval
2,1,2,200,52.5200066,13.404954,3
1,1,3,200,37.7749295,-122.4194155,12
1,1,2,1000,-33.8688197,151.2092955,1
1,3,2,50,39.7684,-86.1581,6
2,2,1,500,33.7490,-84.3880,1
1,1,1,50,33.7490,-84.3880,1
3,3,1,1000,48.8588443,2.2943506,1
1,1,1,500,39.9526,-75.1652,1
2,1,1,50,34.7465,-92.2896,48
3,3,3,100,41.8781,-87.6298,3
1,2,3,200,-33.8688197,151.2092955,3
2,1,1,50,31.230416,121.473701,3
1,2,1,50,25.7617,-80.1918,3
1,1,1,1000,25.7617,-80.1918,1
1,1,1,1000,34.0522,-118.2437,1
3,2,1,200,48.8566,2.3522,3
2,1,3,1000,-34.6036844,-58.3815591,48
1,1,2,100,30.4383,-84.2807,1
1,3,3,50,29.7604,-95.3698,48
1,3,2,200,19.4326077,-99.133208,24
