f,d,k,latency,latitude,longitude,pr_interval
1,1,1,200,51.5074,-0.1278,1
1,1,1,100,30.4383,-84.2807,1
1,1,1,50,34.0522,-118.2437,6
1,2,1,50,-34.6036844,-58.3815591,6
1,1,2,50,33.7490,-84.3880,6
2,1,1,50,34.0522,-118.2437,3
1,1,1,1000,45.4642035,9.189982,3
1,2,3,100,28.6139,77.2090,3
3,1,1,1000,19.4326077,-99.133208,3
2,1,1,500,36.7783,-119.4179,6
2,1,1,100,-1.2921,36.8219,1
2,1,3,100,37.566535,126.9779692,1
3,3,1,100,35.2271,-80.8431,12
2,3,2,1000,29.7604,-95.3698,6
2,1,1,200,55.7558,37.6176,1
2,1,3,500,-34.6036844,-58.3815591,12
1,2,2,100,33.7490,-84.3880,1
3,2,1,50,41.9027835,12.4963655,12
1,2,1,50,25.7617,-80.1918,3
1,1,1,50,43.65107,-79.347015,1
2,1,1,50,31.230416,121.473701,1
3,2,1,200,42.3601,-71.0589,3
3,1,1,500,40.712776,-74.005974,6
1,1,2,1000,-1.2921,36.8219,3
1,2,1,1000,41.8781,-87.6298,3
1,1,3,1000,42.3601,-71.0589,3
1,3,1,50,-34.6036844,-58.3815591,6
3,2,1,50,55.6760968,12.5683372,1
2,1,2,50,-33.9248685,18.4240553,3
2,2,3,200,25.7617,-80.1918,1
2,3,2,500,19.4326077,-99.133208,48
1,1,3,500,38.9072,-77.0369,1
1,2,1,200,29.7604,-95.3698,1
2,2,1,500,37.7749295,-122.4194155,6
1,2,1,100,36.7783,-119.4179,3
1,3,1,1000,40.712776,-74.005974,3
2,2,1,200,38.9072,-77.0369,48
2,1,1,50,-1.2921,36.8219,1
2,1,1,100,-22.906847,-43.172896,6
1,1,1,50,34.0522,-118.2437,3
3,2,2,100,-25.7461,28.1881,3
1,1,1,500,29.7604,-95.3698,1
1,1,1,500,36.7783,-119.4179,3
2,2,3,100,28.6139,77.2090,12
2,1,3,500,48.8588443,2.2943506,6
2,2,1,1000,55.7558,37.6176,1
1,1,3,200,48.8588443,2.2943506,24
1,2,1,200,37.7749295,-122.4194155,3
3,2,1,50,42.3601,-71.0589,3
1,3,2,1000,19.4326077,-99.133208,6
1,1,3,500,28.6139,77.2090,1
2,1,2,100,33.4484,-112.0740,3
1,1,3,50,39.9526,-75.1652,6
1,1,1,200,35.2271,-80.8431,48
1,3,2,500,30.2672,-97.7431,6
2,1,1,1000,38.9072,-77.0369,24
2,1,1,100,25.7617,-80.1918,48
2,1,1,1000,52.5200066,13.404954,3
2,2,2,500,-12.0464,-77.0428,1
1,3,2,50,-22.906847,-43.172896,48
1,1,3,1000,30.2672,-97.7431,1
1,2,3,1000,30.4383,-84.2807,12
1,3,2,1000,40.712776,-74.005974,3
3,1,2,100,25.7617,-80.1918,1
2,2,1,500,37.7749295,-122.4194155,1
1,2,2,500,48.8588443,2.2943506,48
1,1,2,200,-25.7461,28.1881,1
1,1,2,100,48.8588443,2.2943506,6
2,1,1,100,39.9526,-75.1652,1
2,3,2,200,52.5200066,13.404954,3
2,2,1,500,45.4642035,9.189982,3
2,3,2,50,33.7490,-84.3880,24
2,1,3,100,47.6062,-122.3321,3
1,2,1,100,19.4326077,-99.133208,3
3,1,2,1000,47.6062,-122.3321,1
3,1,2,200,37.566535,126.9779692,1
1,1,1,50,-12.0464,-77.0428,3
2,1,1,1000,-22.906847,-43.172896,6
2,2,1,100,25.7617,-80.1918,6
3,3,1,100,-37.8136,144.9631,1
1,1,1,100,32.7157,-117.1611,3
1,3,1,50,41.9027835,12.4963655,1
3,1,3,50,37.7749295,-122.4194155,6
2,2,1,100,55.6760968,12.5683372,1
1,1,1,500,39.9526,-75.1652,1
1,2,1,50,30.2672,-97.7431,3
1,2,3,100,-1.2921,36.8219,1
2,2,1,500,52.5200066,13.404954,6
1,1,1,100,-25.7461,28.1881,48
2,3,2,50,37.7749295,-122.4194155,24
1,1,2,1000,30.4383,-84.2807,6
1,1,2,200,37.7749295,-122.4194155,6
1,2,1,50,39.9612,-82.9988,3
2,1,1,200,37.7749295,-122.4194155,24
1,1,1,100,-22.906847,-43.172896,1
3,3,1,200,36.7783,-119.4179,1
1,1,1,1000,-37.8136,144.9631,6
1,2,3,500,38.9072,-77.0369,12
2,2,1,100,45.4642035,9.189982,1
3,3,1,50,48.8566,2.3522,3
