f,d,k,latency,latitude,longitude,pr_interval
1,1,1,100,51.5074,-0.1278,3
2,1,1,500,39.7684,-86.1581,24
1,3,2,200,-37.8136,144.9631,6
2,1,2,1000,47.6062,-122.3321,6
2,2,1,500,19.4326077,-99.133208,1
1,1,2,100,-12.0464,-77.0428,3
1,1,1,50,-33.8688197,151.2092955,6
2,3,1,500,51.5074,-0.1278,1
3,1,1,1000,55.7558,37.6176,1
1,1,3,1000,39.7684,-86.1581,12
2,1,1,500,39.7684,-86.1581,6
2,1,2,1000,30.4383,-84.2807,3
1,1,2,50,32.7157,-117.1611,48
2,1,2,500,40.712776,-74.005974,3
1,1,2,200,45.4215,-75.6910,6
1,2,2,200,45.4215,-75.6910,1
2,2,1,500,-25.7461,28.1881,6
2,3,2,500,36.7783,-119.4179,6
2,1,2,500,59.3293235,18.0685808,1
2,2,2,200,55.6760968,12.5683372,6
1,1,1,50,-6.2087634,106.845599,6
1,1,3,50,-12.0464,-77.0428,6
1,2,1,200,33.4484,-112.0740,3
2,1,1,100,-34.6036844,-58.3815591,6
1,3,1,50,28.6139,77.2090,6
1,1,1,100,51.509865,-0.118092,3
2,1,1,500,33.7490,-84.3880,3
2,2,1,500,48.8566,2.3522,1
1,1,2,500,41.8781,-87.6298,6
2,1,2,100,29.7604,-95.3698,1
2,2,3,100,55.7558,37.6176,3
1,1,2,500,-12.0464,-77.0428,1
1,2,1,200,35.689487,139.691711,1
1,2,2,100,55.7558,37.6176,12
3,1,3,1000,19.4326077,-99.133208,24
2,1,1,1000,39.9612,-82.9988,1
2,2,1,50,-37.8136,144.9631,3
1,2,1,1000,41.8781,-87.6298,3
1,2,2,1000,35.2271,-80.8431,1
2,3,2,50,-12.0464,-77.0428,1
3,2,1,500,37.566535,126.9779692,6
3,3,2,1000,55.7558,37.6176,1
2,2,3,50,39.9612,-82.9988,6
1,1,2,100,41.9027835,12.4963655,1
3,3,1,500,30.2672,-97.7431,24
1,1,3,500,43.65107,-79.347015,1
1,3,1,1000,-34.6036844,-58.3815591,1
2,1,1,100,51.509865,-0.118092,1
1,1,2,1000,38.9072,-77.0369,3
2,3,1,100,43.65107,-79.347015,1
