f,d,k,latency,latitude,longitude,pr_interval
3,1,3,1000,-37.8136,144.9631,12
3,3,3,50,32.7157,-117.1611,48
3,1,2,1000,48.8588443,2.2943506,1
1,2,1,100,39.9526,-75.1652,48
1,1,1,500,51.509865,-0.118092,1
1,1,1,50,-33.9248685,18.4240553,6
1,3,1,100,40.712776,-74.005974,6
2,2,1,200,41.8781,-87.6298,24
2,3,1,100,30.4383,-84.2807,6
2,2,1,100,19.4326077,-99.133208,1
1,1,1,500,-37.8136,144.9631,1
1,1,2,500,-33.9248685,18.4240553,1
1,3,1,1000,39.9526,-75.1652,6
1,1,1,200,51.5074,-0.1278,3
2,1,3,1000,52.5200066,13.404954,3
1,1,2,500,-1.2921,36.8219,3
3,1,1,200,-25.7461,28.1881,1
2,1,1,1000,48.8566,2.3522,1
2,2,2,100,35.2271,-80.8431,6
2,3,1,50,55.7558,37.6176,1
1,1,1,500,-34.6036844,-58.3815591,6
2,1,1,200,39.7684,-86.1581,1
1,1,1,100,-37.8136,144.9631,3
1,1,3,500,29.7604,-95.3698,6
1,1,1,50,39.9612,-82.9988,6
2,3,1,50,-33.9248685,18.4240553,12
3,1,1,100,30.4383,-84.2807,1
1,3,1,100,51.5074,-0.1278,12
2,2,1,500,-12.0464,-77.0428,1
1,1,2,100,35.689487,139.691711,1
3,1,1,50,31.230416,121.473701,1
2,2,1,1000,-22.906847,-43.172896,1
2,3,2,100,45.4642035,9.189982,1
1,2,1,100,34.0522,-118.2437,6
1,2,2,100,43.65107,-79.347015,6
2,1,1,500,52.5200066,13.404954,3
2,2,2,1000,38.9072,-77.0369,3
1,2,1,500,38.9072,-77.0369,12
1,1,2,100,34.7465,-92.2896,3
3,1,1,500,34.0522,-118.2437,3
2,1,2,1000,36.7783,-119.4179,3
1,1,1,500,45.4642035,9.189982,6
1,1,1,1000,39.9526,-75.1652,1
2,2,2,200,32.7157,-117.1611,3
2,1,3,50,30.2672,-97.7431,6
1,1,2,1000,52.5200066,13.404954,48
1,2,1,200,35.2271,-80.8431,12
3,2,3,200,28.6139,77.2090,6
1,3,2,500,-34.6036844,-58.3815591,48
1,2,1,200,-12.0464,-77.0428,48
3,3,1,100,59.3293235,18.0685808,6
2,2,3,200,-34.6036844,-58.3815591,1
2,2,3,100,48.8588443,2.2943506,24
1,1,3,500,47.6062,-122.3321,6
3,2,1,100,38.9072,-77.0369,3
1,2,1,200,35.2271,-80.8431,6
2,3,2,200,30.2672,-97.7431,6
3,1,1,1000,33.4484,-112.0740,6
1,1,3,500,28.6139,77.2090,1
1,1,1,500,48.8588443,2.2943506,24
1,1,3,1000,30.2672,-97.7431,3
3,1,3,100,31.230416,121.473701,3
1,1,3,100,39.7684,-86.1581,1
1,2,1,1000,37.566535,126.9779692,3
1,1,1,100,45.4642035,9.189982,6
1,2,2,1000,19.4326077,-99.133208,6
3,1,1,50,32.7157,-117.1611,1
1,1,1,50,48.8566,2.3522,3
1,2,2,50,48.8588443,2.2943506,6
1,1,1,1000,40.712776,-74.005974,6
1,1,2,50,32.7157,-117.1611,12
2,2,1,500,36.7783,-119.4179,48
1,2,2,200,-1.2921,36.8219,3
1,1,1,500,32.7157,-117.1611,3
2,1,1,200,19.4326077,-99.133208,24
1,2,3,100,51.509865,-0.118092,3
2,1,2,100,39.9526,-75.1652,1
2,2,3,500,35.2271,-80.8431,6
2,3,1,200,51.509865,-0.118092,1
3,1,1,200,-1.2921,36.8219,12
2,1,2,500,55.7558,37.6176,3
1,1,2,500,-25.7461,28.1881,48
3,1,3,200,51.5074,-0.1278,3
1,3,1,1000,33.7490,-84.3880,24
3,2,1,500,-22.906847,-43.172896,1
1,3,2,500,52.5200066,13.404954,24
2,1,2,1000,-34.6036844,-58.3815591,6
1,1,1,50,19.4326077,-99.133208,12
2,3,1,200,32.7157,-117.1611,1
1,1,3,500,-25.7461,28.1881,1
1,3,1,1000,-12.0464,-77.0428,48
3,2,1,200,-33.9248685,18.4240553,12
2,2,1,200,32.7157,-117.1611,6
3,3,3,500,-37.8136,144.9631,6
3,2,2,100,-33.9248685,18.4240553,12
1,1,1,50,-22.906847,-43.172896,1
1,3,2,100,37.7749295,-122.4194155,48
2,1,1,200,32.7157,-117.1611,24
2,3,1,50,48.8566,2.3522,1
2,1,2,200,39.9526,-75.1652,3
