f,d,k,latency,latitude,longitude,pr_interval
3,1,2,500,33.4484,-112.0740,48
1,1,1,100,36.7783,-119.4179,1
3,2,3,1000,47.6062,-122.3321,48
3,1,1,50,37.7749295,-122.4194155,1
2,2,2,500,29.7604,-95.3698,24
1,1,1,50,30.2672,-97.7431,3
3,3,2,100,41.8781,-87.6298,3
1,1,1,200,34.0522,-118.2437,6
2,1,1,500,35.2271,-80.8431,12
2,3,1,1000,25.7617,-80.1918,1
1,1,2,100,39.7684,-86.1581,3
1,1,2,200,32.7157,-117.1611,3
1,2,1,50,34.0522,-118.2437,1
3,1,2,1000,32.7157,-117.1611,3
2,1,2,1000,36.7783,-119.4179,24
2,3,2,100,35.2271,-80.8431,6
1,1,2,50,39.9612,-82.9988,48
2,2,2,1000,29.7604,-95.3698,6
1,2,1,100,39.9526,-75.1652,1
1,1,2,500,39.9526,-75.1652,1
