f,d,k,latency,latitude,longitude,pr_interval
2,2,1,200,29.7604,-95.3698,3
3,1,1,500,34.0522,-118.2437,24
3,1,1,500,33.4484,-112.0740,1
1,2,3,200,36.7783,-119.4179,1
3,1,3,100,39.9526,-75.1652,1
2,1,1,200,39.9612,-82.9988,6
3,2,1,500,41.8781,-87.6298,1
2,3,1,100,32.7157,-117.1611,3
2,1,3,100,41.8781,-87.6298,12
1,1,1,1000,29.7604,-95.3698,1
3,3,1,100,33.7490,-84.3880,1
3,1,2,200,29.7604,-95.3698,3
2,2,3,200,34.0522,-118.2437,3
1,1,1,1000,42.3601,-71.0589,6
2,1,1,500,34.0522,-118.2437,1
