f,d,k,latency,latitude,longitude,pr_interval
1,2,2,500,40.712776,-74.005974,6
3,1,1,200,25.7617,-80.1918,3
1,3,1,200,35.2271,-80.8431,12
2,1,1,100,39.9612,-82.9988,3
1,1,1,1000,34.7465,-92.2896,1
2,1,2,200,35.2271,-80.8431,6
1,1,2,100,47.6062,-122.3321,1
1,1,1,1000,39.9612,-82.9988,12
1,3,3,1000,36.7783,-119.4179,3
3,2,1,200,47.6062,-122.3321,6
1,1,1,200,29.7604,-95.3698,3
2,1,2,100,30.2672,-97.7431,6
3,2,3,200,37.7749295,-122.4194155,24
1,1,2,1000,33.7490,-84.3880,1
2,1,1,200,41.8781,-87.6298,6
