f,d,k,latency,latitude,longitude,pr_interval
2,1,1,100,39.7684,-86.1581,12
2,2,2,200,41.8781,-87.6298,6
2,1,2,500,45.4642035,9.189982,3
2,1,1,50,42.3601,-71.0589,48
1,1,2,1000,30.2672,-97.7431,1
1,2,3,200,47.6062,-122.3321,3
1,1,1,200,38.9072,-77.0369,12
1,1,1,100,-25.7461,28.1881,1
1,1,1,200,37.7749295,-122.4194155,12
1,1,3,200,37.566535,126.9779692,1
2,2,1,100,34.7465,-92.2896,48
1,2,1,100,39.9612,-82.9988,6
1,1,2,1000,-25.7461,28.1881,1
1,2,3,500,41.8781,-87.6298,3
1,1,1,500,39.7684,-86.1581,1
1,1,2,50,42.3601,-71.0589,1
1,2,1,500,-34.6036844,-58.3815591,6
2,1,1,1000,48.8588443,2.2943506,1
2,1,1,500,40.712776,-74.005974,24
2,2,1,50,-33.8688197,151.2092955,3
2,1,2,200,43.65107,-79.347015,6
1,1,2,1000,41.8781,-87.6298,1
2,2,1,200,28.6139,77.2090,3
2,2,3,50,39.9526,-75.1652,48
2,1,1,50,48.8588443,2.2943506,1
1,1,1,500,-33.9248685,18.4240553,24
1,1,1,200,30.4383,-84.2807,6
1,3,1,50,37.7749295,-122.4194155,1
1,1,1,200,28.6139,77.2090,1
2,2,1,100,-6.2087634,106.845599,6
2,2,1,200,41.9027835,12.4963655,1
2,2,3,50,39.9612,-82.9988,3
2,1,2,500,43.65107,-79.347015,3
1,3,2,50,59.3293235,18.0685808,1
1,3,1,1000,-34.6036844,-58.3815591,3
3,3,3,100,28.6139,77.2090,24
1,1,2,100,48.8588443,2.2943506,1
3,1,2,500,45.4642035,9.189982,24
2,1,1,1000,39.9612,-82.9988,1
2,1,1,500,-37.8136,144.9631,6
1,2,1,100,-33.9248685,18.4240553,48
1,2,2,1000,35.2271,-80.8431,24
1,2,1,200,38.9072,-77.0369,1
1,3,1,1000,-37.8136,144.9631,24
1,1,2,50,37.7749295,-122.4194155,48
1,1,2,200,51.509865,-0.118092,1
2,3,2,200,59.3293235,18.0685808,3
1,2,1,500,37.566535,126.9779692,3
1,2,2,1000,29.7604,-95.3698,3
1,2,1,50,35.689487,139.691711,3
3,2,3,500,45.4642035,9.189982,48
1,1,2,1000,43.65107,-79.347015,1
2,2,2,500,19.4326077,-99.133208,3
3,1,3,50,-33.9248685,18.4240553,1
1,1,1,200,-34.6036844,-58.3815591,6
1,2,1,100,55.7558,37.6176,1
3,3,2,500,19.4326077,-99.133208,3
1,3,3,500,37.566535,126.9779692,1
1,1,1,200,45.4215,-75.6910,6
2,1,3,50,31.230416,121.473701,1
2,3,2,200,28.6139,77.2090,3
1,1,1,50,52.5200066,13.404954,6
1,1,2,50,-25.7461,28.1881,1
2,2,1,100,59.3293235,18.0685808,1
1,1,3,50,51.5074,-0.1278,12
1,2,2,500,-34.6036844,-58.3815591,1
2,1,1,50,33.7490,-84.3880,24
3,1,1,1000,52.5200066,13.404954,3
1,1,1,200,42.3601,-71.0589,1
2,3,1,200,-25.7461,28.1881,3
2,1,1,50,33.4484,-112.0740,3
1,3,1,1000,-25.7461,28.1881,48
2,2,1,1000,-12.0464,-77.0428,1
1,1,2,100,-25.7461,28.1881,24
1,1,2,100,33.7490,-84.3880,1
3,3,2,100,-22.906847,-43.172896,3
1,2,3,200,-12.0464,-77.0428,1
3,2,2,1000,31.230416,121.473701,48
1,3,1,200,47.6062,-122.3321,48
2,2,1,100,40.712776,-74.005974,1
2,2,3,1000,37.7749295,-122.4194155,3
2,2,2,200,55.6760968,12.5683372,12
1,1,2,100,25.7617,-80.1918,48
3,1,2,1000,34.7465,-92.2896,1
3,1,1,200,-33.8688197,151.2092955,3
1,1,2,100,55.6760968,12.5683372,1
2,1,1,200,48.8588443,2.2943506,3
2,1,3,50,35.689487,139.691711,24
1,1,1,200,35.2271,-80.8431,48
3,2,1,200,41.9027835,12.4963655,1
3,1,2,50,55.6760968,12.5683372,6
1,1,2,200,-34.6036844,-58.3815591,48
3,3,2,500,19.4326077,-99.133208,3
1,1,2,100,33.7490,-84.3880,1
2,3,1,1000,-6.2087634,106.845599,12
3,1,1,500,34.7465,-92.2896,1
1,1,1,200,33.7490,-84.3880,1
3,2,2,500,38.9072,-77.0369,1
1,1,2,200,35.2271,-80.8431,3
3,3,1,200,38.9072,-77.0369,3
