f,d,k,latency,latitude,longitude,pr_interval
2,1,1,100,25.7617,-80.1918,12
2,1,3,100,39.7684,-86.1581,1
3,1,2,100,35.2271,-80.8431,6
2,3,1,200,33.4484,-112.0740,48
3,3,1,1000,39.9612,-82.9988,6
1,1,2,200,39.9526,-75.1652,6
1,1,3,50,32.7157,-117.1611,1
3,2,1,100,47.6062,-122.3321,1
2,1,2,100,40.712776,-74.005974,12
1,2,3,1000,29.7604,-95.3698,3
1,1,1,500,34.0522,-118.2437,1
3,2,1,50,37.7749295,-122.4194155,48
1,3,1,1000,41.8781,-87.6298,6
1,2,1,1000,42.3601,-71.0589,3
2,3,1,500,42.3601,-71.0589,1
3,1,1,50,35.2271,-80.8431,48
3,2,2,1000,35.2271,-80.8431,1
1,2,1,200,38.9072,-77.0369,3
3,2,1,1000,30.4383,-84.2807,24
1,1,2,500,30.2672,-97.7431,1
1,2,1,50,39.9612,-82.9988,3
2,3,1,50,33.7490,-84.3880,48
1,2,1,50,30.4383,-84.2807,3
2,1,2,500,30.4383,-84.2807,6
1,2,1,500,38.9072,-77.0369,3
1,1,2,50,37.7749295,-122.4194155,6
1,1,1,50,35.2271,-80.8431,1
1,1,1,500,35.2271,-80.8431,6
2,2,3,200,37.7749295,-122.4194155,6
1,1,2,50,40.712776,-74.005974,6
