f,d,k,latency,latitude,longitude,pr_interval
1,1,1,500,38.9072,-77.0369,1
3,1,3,1000,47.6062,-122.3321,1
2,1,3,1000,36.7783,-119.4179,6
1,1,1,200,47.6062,-122.3321,1
3,3,3,200,33.4484,-112.0740,1
2,1,1,1000,30.4383,-84.2807,1
1,1,2,100,41.8781,-87.6298,3
1,2,1,1000,30.2672,-97.7431,1
1,1,3,1000,29.7604,-95.3698,1
1,2,1,100,42.3601,-71.0589,1
1,2,2,500,30.4383,-84.2807,24
2,1,3,200,34.7465,-92.2896,3
2,2,3,1000,39.9612,-82.9988,6
3,3,2,500,35.2271,-80.8431,1
2,1,1,500,42.3601,-71.0589,3
2,1,1,100,40.712776,-74.005974,1
2,1,1,1000,30.4383,-84.2807,1
1,3,2,1000,30.2672,-97.7431,12
1,2,1,200,40.712776,-74.005974,6
2,1,1,1000,25.7617,-80.1918,3
1,1,3,1000,25.7617,-80.1918,6
1,1,1,200,39.9612,-82.9988,3
2,3,3,500,30.4383,-84.2807,1
1,2,1,100,33.4484,-112.0740,24
1,1,1,1000,33.7490,-84.3880,6
2,1,3,1000,39.9526,-75.1652,6
1,1,1,100,33.4484,-112.0740,1
1,1,1,1000,40.712776,-74.005974,1
1,1,1,1000,39.9526,-75.1652,1
1,2,1,1000,42.3601,-71.0589,12
