f,d,k,latency,latitude,longitude,pr_interval
1,2,1,500,25.7617,-80.1918,3
2,1,2,200,51.509865,-0.118092,3
2,1,1,100,48.8566,2.3522,6
1,1,2,50,30.4383,-84.2807,3
1,1,2,200,30.2672,-97.7431,1
1,1,3,500,39.9526,-75.1652,6
2,2,2,50,-1.2921,36.8219,3
3,2,1,200,37.7749295,-122.4194155,6
1,2,2,100,-33.9248685,18.4240553,3
1,1,1,1000,38.9072,-77.0369,3
2,2,1,500,33.4484,-112.0740,1
1,1,1,50,40.712776,-74.005974,48
3,2,2,50,-34.6036844,-58.3815591,12
1,1,1,50,42.3601,-71.0589,6
2,3,3,50,-34.6036844,-58.3815591,24
