f,d,k,latency,latitude,longitude,pr_interval
1,3,1,500,32.7157,-117.1611,6
3,2,3,500,32.7157,-117.1611,1
2,1,1,500,30.4383,-84.2807,3
3,1,1,200,39.9612,-82.9988,1
2,2,1,500,38.9072,-77.0369,12
1,1,1,50,34.7465,-92.2896,3
1,3,1,200,30.4383,-84.2807,1
2,2,3,200,29.7604,-95.3698,3
1,1,1,1000,32.7157,-117.1611,3
2,2,3,200,47.6062,-122.3321,6
2,3,3,500,39.7684,-86.1581,6
1,3,1,100,30.4383,-84.2807,1
2,1,2,50,39.9612,-82.9988,6
1,1,3,50,36.7783,-119.4179,1
1,3,1,100,40.712776,-74.005974,1
