f,d,k,latency,latitude,longitude,pr_interval
2,2,2,50,38.9072,-77.0369,3
2,1,1,50,39.9612,-82.9988,3
1,2,2,500,34.0522,-118.2437,3
1,1,1,200,38.9072,-77.0369,6
1,1,1,1000,39.9612,-82.9988,12
2,2,3,50,42.3601,-71.0589,1
2,1,3,1000,32.7157,-117.1611,6
1,3,1,50,25.7617,-80.1918,3
1,2,3,50,39.9612,-82.9988,1
1,2,2,500,37.7749295,-122.4194155,3
1,3,1,1000,34.0522,-118.2437,3
1,1,2,50,34.0522,-118.2437,3
1,3,3,100,36.7783,-119.4179,12
1,1,2,500,34.0522,-118.2437,24
3,3,1,500,38.9072,-77.0369,1
1,1,1,100,47.6062,-122.3321,1
2,1,2,100,47.6062,-122.3321,24
2,2,2,500,36.7783,-119.4179,6
1,1,2,50,30.4383,-84.2807,6
1,3,3,50,34.7465,-92.2896,6
1,3,1,1000,41.8781,-87.6298,3
1,3,1,50,30.2672,-97.7431,6
2,2,2,50,35.2271,-80.8431,24
1,2,1,500,30.4383,-84.2807,1
1,3,1,200,40.712776,-74.005974,1
2,2,1,50,40.712776,-74.005974,1
2,2,2,1000,34.0522,-118.2437,3
1,1,3,200,39.9526,-75.1652,6
2,3,2,100,33.4484,-112.0740,1
1,2,1,50,33.4484,-112.0740,1
