f,d,k,latency,latitude,longitude,pr_interval
1,1,3,1000,36.7783,-119.4179,48
1,1,1,200,30.4383,-84.2807,6
2,3,1,200,51.509865,-0.118092,1
1,2,1,500,-33.8688197,151.2092955,12
1,1,2,1000,32.7157,-117.1611,1
3,2,1,100,28.6139,77.2090,3
3,1,2,200,35.689487,139.691711,6
1,2,1,50,29.7604,-95.3698,24
2,2,2,200,51.509865,-0.118092,3
3,1,2,100,33.4484,-112.0740,3
2,2,2,1000,-25.7461,28.1881,1
2,1,2,100,45.4215,-75.6910,1
1,1,1,500,45.4215,-75.6910,1
3,1,3,200,39.9526,-75.1652,3
1,1,1,500,39.9526,-75.1652,1
